,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,2,1.633287,-57.165209,9.5829803000e+01,-1.7542103000e+01,95.8294032,-17.5418570,06h23m19.06s,-17d32m30.69s,1.1694,1.1883,-0.3190,16.426,null,1.3,1.318e+00,15.759,null,null,1.514e+00,10.088,0.142,7.7,1.259e+00,7.833,null,null,1.199e+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55276.491812,null,null,null,null,null,null,null
1,3,0.568740,-12.226366,9.5838536000e+01,-1.7600979000e+01,95.8385009,-17.6008246,06h23m21.24s,-17d36m02.97s,1.4945,1.5873,-0.2120,17.068,null,null,7.003e-01,15.434,null,1.0,1.003e+00,10.443,0.214,5.1,9.606e-01,7.184,null,2.0,8.664e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55276.624116,null,null,null,null,null,null,null
2,4,1.050724,-158.149820,9.5847450000e+01,-1.7659714000e+01,95.8473360,-17.6599849,06h23m23.36s,-17d39m35.95s,1.6363,1.7597,-0.3262,17.021,null,null,2.689e-01,15.070,null,1.7,8.568e-01,10.670,0.254,4.3,1.241e+00,7.885,0.525,2.1,4.716e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55276.756420,null,null,null,null,null,null,null
3,6,0.538258,-171.833536,9.5861143000e+01,-1.7747472000e+01,95.8611207,-17.7476200,06h23m26.67s,-17d44m51.43s,1.5161,1.6513,0.1670,16.978,null,null,1.820e+00,15.705,null,null,7.699e-01,10.481,0.203,5.3,1.370e+00,7.563,null,1.0,2.018e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55276.954812,null,null,null,null,null,null,null
4,13,3.181584,-5.225815,9.5889750000e+01,-1.7922198000e+01,95.8896654,-17.9213179,06h23m33.52s,-17d55m16.74s,1.4812,1.7584,0.3242,17.089,null,null,9.922e-01,15.519,0.466,2.3,1.360e+00,10.566,0.236,4.6,7.586e-01,7.803,null,null,9.892e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55277.351725,null,null,null,null,null,null,null
5,17,1.162420,-13.014738,9.5919920000e+01,-1.8095686000e+01,95.9198435,-18.0953714,06h23m40.76s,-18d05m43.34s,1.1568,1.3584,-0.2186,16.720,0.427,2.5,1.609e+00,15.477,0.459,2.4,1.154e+00,10.356,0.186,5.8,1.480e+00,7.600,null,1.0,9.882e-01,1,0,0.000,0.000,0.000,0.000,0000,CCBU,1,55277.748637,null,null,null,null,null,null,null
6,22,0.486768,-58.125905,9.6061747000e+01,-1.8805984000e+01,96.0616257,-18.8059126,06h24m14.79s,-18d48m21.29s,1.0576,1.2844,0.3156,16.582,null,1.2,6.902e-01,15.777,null,null,9.046e-01,10.039,0.146,7.5,7.101e-01,7.560,null,1.0,8.158e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55279.402501,null,null,null,null,null,null,null
7,23,0.899399,67.997339,9.6061775000e+01,-1.8806135000e+01,96.0620197,-18.8060414,06h24m14.88s,-18d48m21.75s,1.6206,1.8020,-0.2463,17.092,null,null,1.097e+00,15.037,null,2.0,7.802e-01,10.569,0.232,4.7,6.127e-01,7.493,null,0.4,7.387e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55279.402629,null,null,null,null,null,null,null
8,24,0.629134,-129.985821,9.6074198000e+01,-1.8862107000e+01,96.0740565,-18.8622193,06h24m17.77s,-18d51m43.99s,1.8002,2.0312,-0.0678,17.116,null,null,1.310e+00,15.784,null,null,1.126e+00,10.739,0.283,3.8,8.190e-01,7.655,null,null,7.087e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55279.534933,null,null,null,null,null,null,null
9,27,0.184477,143.139632,9.6093103000e+01,-1.8945765000e+01,96.0931355,-18.9458060,06h24m22.35s,-18d56m44.90s,1.1799,1.3952,0.0868,17.115,null,null,9.203e-01,15.379,0.435,2.5,9.570e-01,10.188,0.168,6.5,8.606e-01,7.837,null,0.1,4.446e-01,2,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55279.733325,null,null,null,null,null,null,null
