,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,2,4.732639,32.978975,7.3364478000e+01,-2.9613987000e+01,73.3653011,-29.6128842,04h53m27.67s,-29d36m46.38s,1.2332,1.3403,-0.0614,16.157,0.237,4.6,7.733e-01,15.718,0.496,2.2,8.477e-01,11.106,null,1.1,6.387e-01,8.002,0.517,2.1,9.252e-01,1,0,0.000,0.000,0.000,0.000,0000,BCUC,0,55245.525287,null,null,null,null,null,null,null
1,4,4.816486,45.611575,7.3414302000e+01,-2.9564776000e+01,73.4154012,-29.5638401,04h53m39.70s,-29d33m49.82s,0.9427,0.9977,-0.2472,15.651,0.172,6.3,8.650e-01,15.288,0.327,3.3,1.380e+00,10.989,null,1.3,1.687e+00,7.786,null,0.2,1.043e+00,1,0,0.000,0.000,0.000,0.000,0000,BBUU,0,55245.657718,200177058,16.532,0.115,16.081,0.170,15.848,0.315
2,5,3.022726,26.041954,7.3464266000e+01,-2.9515444000e+01,73.4646896,-29.5146896,04h53m51.53s,-29d30m52.88s,1.8526,2.1903,-0.4789,16.833,null,0.6,9.135e-01,15.339,null,0.7,1.241e+00,10.789,0.274,4.0,5.149e-01,7.961,null,null,1.522e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55245.790023,null,null,null,null,null,null,null
3,14,4.234754,73.926215,7.3768562000e+01,-2.9217374000e+01,73.7698571,-29.2170483,04h55m04.77s,-29d13m01.37s,2.1155,2.4067,0.7663,17.238,null,null,7.884e-01,15.377,null,0.9,1.036e+00,10.732,null,2.0,1.782e+00,7.619,0.468,2.3,1.040e+00,2,0,0.000,0.000,0.000,0.000,0000,UUUC,0,55246.584102,null,null,null,null,null,null,null
4,19,1.683442,-36.541622,7.3871606000e+01,-2.9117198000e+01,73.8712873,-29.1168223,04h55m29.11s,-29d07m00.56s,1.2905,1.2296,-0.6869,17.171,null,null,1.288e+00,15.859,null,null,7.564e-01,11.424,null,0.1,1.312e+00,6.531,0.257,4.2,3.776e+00,1,0,0.000,0.000,0.000,0.000,0000,UUUB,0,55246.848710,null,null,null,null,null,null,null
5,25,4.163827,-100.350368,7.4001609000e+01,-2.8991419000e+01,74.0003082,-28.9916268,04h56m00.07s,-28d59m29.86s,0.4087,0.4080,-0.0988,14.502,0.074,14.7,6.695e-01,14.814,0.233,4.7,9.209e-01,11.034,null,1.0,4.737e-01,7.979,null,null,9.893e-01,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55247.179534,200219895,14.858,0.033,14.512,0.054,14.513,0.085
6,35,3.551144,-116.698860,7.4238903000e+01,-2.8763443000e+01,74.2378977,-28.7638862,04h56m57.10s,-28d45m49.99s,0.7573,0.7551,-0.2209,15.529,0.155,7.0,8.111e-01,15.054,0.313,3.5,4.072e-01,10.974,null,1.5,1.037e+00,6.749,0.232,4.7,3.742e+00,2,0,0.000,0.000,0.000,0.000,0000,BBUB,0,55247.775094,null,null,null,null,null,null,null
7,70,3.640148,62.570356,7.6466754000e+01,-2.6701127000e+01,76.4677586,-26.7006612,05h05m52.26s,-26d42m02.38s,0.8142,1.1724,0.2824,17.128,null,null,1.141e+00,15.604,null,0.2,1.350e+00,9.808,0.133,8.2,4.121e+00,7.798,null,0.4,1.382e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55252.936224,null,null,null,null,null,null,null
8,74,2.306065,100.287795,7.6558481000e+01,-2.6618658000e+01,76.5591860,-26.6187724,05h06m14.20s,-26d37m07.58s,0.5328,0.5846,-0.1467,15.097,0.101,10.8,7.436e-01,14.571,0.197,5.5,1.010e+00,11.062,null,1.1,8.724e-01,7.957,null,null,1.296e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55253.134744,208134317,16.670,0.152,16.226,0.205,15.588,0.226
9,99,4.107921,126.129710,7.7371785000e+01,-2.5893842000e+01,77.3728095,-25.8945148,05h09m29.47s,-25d53m40.25s,0.0636,0.0916,0.0170,17.146,null,null,1.103e+00,10.612,0.017,64.7,1.185e+02,11.595,null,null,1.174e+00,7.686,null,null,7.788e+00,2,0,0.000,0.000,0.000,0.000,0h00,UAUU,0,55254.855206,null,null,null,null,null,null,null
