,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,5,4.050484,-164.844105,2.8121418400e+02,-1.2409081000e+01,281.2138828,-12.4101670,18h44m51.33s,-12d24m36.60s,0.4432,0.4374,-0.1790,14.039,0.071,15.3,2.459e+00,15.017,0.456,2.4,1.802e+00,10.349,null,1.7,7.311e-01,7.270,null,1.2,2.253e+00,2,0,0.000,0.000,0.000,0.000,0000,ACUU,0,55285.991219,1273179514,15.087,0.062,14.671,0.092,14.406,0.092
1,26,4.285215,-99.565414,2.8261526800e+02,-1.2153556000e+01,282.6140673,-12.1537538,18h50m27.38s,-12d09m13.51s,0.1143,0.1237,0.0232,11.704,0.028,38.9,2.933e+00,11.864,0.038,28.6,1.548e+00,10.850,null,0.9,1.396e+00,7.752,null,null,8.985e-01,3,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55287.711299,1273851478,12.959,0.026,12.132,0.024,11.888,0.027
2,28,3.426399,-103.953212,2.8272354800e+02,-1.2133353000e+01,282.7226032,-12.1335825,18h50m53.42s,-12d08m00.90s,0.2947,0.3336,-0.0282,13.597,0.059,18.5,2.769e+00,13.488,0.106,10.2,1.742e+00,10.783,null,1.2,1.550e+00,7.718,null,null,9.644e-01,1,0,0.000,0.000,0.000,0.000,00O0,AAUU,0,55287.843603,1238884635,14.778,0.049,14.040,0.057,13.798,0.052
3,29,3.925072,-100.650280,2.8272365700e+02,-1.2133294000e+01,282.7225610,-12.1334955,18h50m53.41s,-12d08m00.58s,0.2996,0.2909,0.0131,13.605,0.053,20.6,4.542e+00,13.787,0.140,7.8,1.635e+00,10.579,null,1.9,1.306e+00,7.470,null,0.7,9.458e-01,1,0,0.000,0.000,0.000,0.000,00O0,ABUU,0,55287.843731,1238884635,14.778,0.049,14.040,0.057,13.798,0.052
4,34,3.609819,-69.595392,2.8299462800e+02,-1.2082469000e+01,282.9936669,-12.0821194,18h51m58.48s,-12d04m55.63s,0.0846,0.0882,0.0345,10.470,0.023,47.6,1.422e+01,10.623,0.024,46.0,4.669e+00,10.658,null,1.3,1.376e+00,7.822,null,null,1.006e+00,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55288.174428,1239010435,11.744,0.030,11.069,0.032,10.883,0.032
5,35,2.649554,-173.599640,2.8304894300e+02,-1.2072210000e+01,283.0488591,-12.0729414,18h52m11.73s,-12d04m22.59s,0.2100,0.2275,-0.0331,13.201,0.045,24.3,1.606e+00,13.341,0.101,10.7,9.237e-01,11.334,null,null,7.503e-01,7.542,null,0.3,8.430e-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55288.240643,1239015198,14.036,0.033,13.370,0.037,13.282,0.044
6,47,4.087451,-62.464305,2.8408355900e+02,-1.1874022000e+01,284.0825302,-11.8734971,18h56m19.81s,-11d52m24.59s,0.1410,0.1412,-0.0263,12.555,0.028,38.3,2.496e+00,12.711,0.070,15.5,1.267e+00,10.628,null,1.0,9.063e-01,7.679,null,0.1,7.175e-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55289.497596,412383608,13.834,0.033,13.015,0.031,12.761,0.034
7,62,4.296100,92.992625,2.9061674900e+02,-1.0492474000e+01,290.6179610,-10.4925363,19h22m28.31s,-10d29m33.13s,0.2367,0.2652,-0.0974,13.677,0.048,22.5,5.671e+00,13.576,0.115,9.5,7.893e-01,10.846,0.334,3.3,1.018e+00,7.918,null,null,1.223e+00,1,0,0.000,0.000,0.000,0.000,0000,ABBU,0,55297.237961,432333442,15.227,0.046,14.518,0.048,14.295,0.074
8,63,3.794365,91.386434,2.9061686300e+02,-1.0492407000e+01,290.6179346,-10.4924325,19h22m28.30s,-10d29m32.76s,0.2693,0.3017,-0.0887,13.855,0.056,19.3,3.946e+00,13.688,0.108,10.0,2.292e+00,10.916,null,1.2,9.127e-01,7.738,null,0.1,1.213e+00,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55297.238088,432333442,15.227,0.046,14.518,0.048,14.295,0.074
9,80,3.342811,-78.709360,2.9234099700e+02,-1.0092812000e+01,292.3400721,-10.0926302,19h29m21.62s,-10d05m33.47s,0.2410,0.2889,0.0637,13.721,0.050,21.5,4.254e+00,13.566,0.091,12.0,1.764e+00,11.348,null,null,9.291e-01,7.399,null,1.1,1.317e+00,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55299.222650,432685679,14.757,0.064,14.478,0.075,14.454,0.090
