,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.734650,39.967494,2.6792346600e+02,7.5329663000e+01,267.9239836,75.3298194,17h51m41.76s,75d19m47.35s,0.5534,0.6647,-0.0299,17.235,null,null,9.881e-01,14.870,0.271,4.0,9.663e-01,9.418,0.082,13.2,8.441e-01,7.533,0.346,3.1,4.740e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55278.763519,null,null,null,null,null,null,null
1,2,0.519200,37.772562,2.6770484500e+02,7.5363164000e+01,267.7051946,75.3632780,17h50m49.25s,75d21m47.80s,0.5790,0.7024,-0.0719,16.511,null,1.4,6.143e-01,15.076,null,1.1,1.082e+00,9.405,0.079,13.7,1.294e+00,7.774,0.441,2.5,6.571e-01,1,0,0.000,0.000,0.000,0.000,0000,UUAC,0,55278.895824,null,null,null,null,null,null,null
2,3,0.527955,89.101104,2.6748351100e+02,7.5396672000e+01,267.4840926,75.3966743,17h49m56.18s,75d23m48.03s,0.6336,0.7275,-0.1347,17.032,null,0.2,1.780e+00,15.313,0.367,3.0,1.002e+00,9.546,0.090,12.1,1.057e+00,7.373,0.324,3.4,1.402e+00,1,0,0.000,0.000,0.000,0.000,0000,UCAB,0,55279.028128,null,null,null,null,null,null,null
3,5,0.760680,143.932819,2.6633468100e+02,7.5564240000e+01,266.3351800,75.5640692,17h45m20.44s,75d33m50.65s,0.4859,0.5281,-0.1325,17.143,null,null,6.231e-01,15.374,0.406,2.7,9.702e-01,9.263,0.068,16.0,1.449e+00,7.098,0.230,4.7,9.218e-01,1,0,0.000,0.000,0.000,0.000,0000,UCAB,0,55279.689648,null,null,null,null,null,null,null
4,6,0.263733,177.698760,2.6633442400e+02,7.5564667000e+01,266.3344358,75.5645938,17h45m20.26s,75d33m52.54s,0.4368,0.4900,-0.0790,16.527,null,1.5,9.976e-01,15.212,0.333,3.3,7.468e-01,9.248,0.073,14.8,8.647e-01,6.444,0.134,8.1,6.950e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55279.689775,null,null,null,null,null,null,null
5,7,0.552559,126.037409,2.6609618700e+02,7.5597741000e+01,266.0966860,75.5976507,17h44m23.20s,75d35m51.54s,0.4822,0.5379,-0.2381,16.501,null,1.4,6.943e-01,15.004,0.288,3.8,9.002e-01,9.188,0.067,16.3,8.917e-01,7.033,0.220,4.9,8.033e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55279.821952,null,null,null,null,null,null,null
6,8,0.582825,111.790973,2.6609591700e+02,7.5598170000e+01,266.0965214,75.5981099,17h44m23.17s,75d35m53.20s,0.4679,0.5247,-0.0423,16.702,null,null,5.019e-01,14.555,0.203,5.3,7.243e-01,9.230,0.072,15.1,8.245e-01,7.358,0.309,3.5,1.185e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55279.822079,null,null,null,null,null,null,null
7,9,0.193503,174.462873,2.6585440000e+02,7.5631649000e+01,265.8544209,75.6315955,17h43m25.06s,75d37m53.74s,0.4546,0.5331,-0.1112,16.442,null,1.3,8.564e-01,15.162,0.337,3.2,9.306e-01,9.189,0.065,16.6,9.266e-01,6.978,0.242,4.5,2.228e+00,2,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55279.954383,null,null,null,null,null,null,null
8,10,0.563865,115.811976,2.6536213400e+02,7.5698534000e+01,265.3627048,75.6984658,17h41m27.05s,75d41m54.48s,0.4613,0.5217,-0.1275,16.082,null,1.6,1.398e+00,14.538,0.181,6.0,1.712e+00,9.182,0.067,16.3,1.086e+00,7.726,0.432,2.5,6.884e-01,2,0,0.000,0.000,0.000,0.000,0000,UBAC,0,55280.218991,null,null,null,null,null,null,null
9,11,0.072570,118.763169,2.6511129700e+02,7.5731935000e+01,265.1113687,75.7319253,17h40m26.73s,75d43m54.93s,0.4993,0.5740,-0.1476,16.632,null,1.2,6.340e-01,14.727,0.215,5.0,8.321e-01,9.378,0.080,13.6,1.446e+00,7.044,0.222,4.9,8.088e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55280.351295,null,null,null,null,null,null,null
