,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.281380,-173.773394,2.3520284400e+02,4.1763770000e+00,235.2028355,4.1762993,15h40m48.68s,04d10m34.68s,0.6786,0.7658,0.1801,16.787,0.429,2.5,1.021e+00,14.450,0.191,5.7,1.320e+00,9.705,0.115,9.4,1.174e+00,7.402,0.332,3.3,1.294e+00,1,0,0.000,0.000,0.000,0.000,0000,CBBB,1,55238.086849,null,null,null,null,null,null,null
1,3,0.323968,81.758411,2.3517280800e+02,4.1853560000e+00,235.1728973,4.1853689,15h40m41.50s,04d11m07.33s,0.6155,0.7576,0.1926,16.299,null,1.8,1.819e+00,14.460,0.209,5.2,8.606e-01,9.538,0.100,10.9,1.432e+00,7.268,0.314,3.5,1.455e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55238.219281,null,null,null,null,null,null,null
2,4,0.673840,54.873116,2.3514270600e+02,4.1942430000e+00,235.1428595,4.1943507,15h40m34.29s,04d11m39.66s,0.4979,0.5617,0.1644,16.996,null,null,1.286e+00,13.814,0.122,8.9,8.743e-01,9.255,0.084,13.0,1.002e+00,7.829,0.540,2.0,1.062e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55238.351585,null,null,null,null,null,null,null
3,5,0.344007,40.557692,2.3512763000e+02,4.1986390000e+00,235.1276923,4.1987116,15h40m30.65s,04d11m55.36s,0.4516,0.5236,0.1279,16.884,0.496,2.2,1.696e+00,13.877,0.119,9.1,1.564e+00,9.222,0.076,14.3,1.136e+00,7.280,0.291,3.7,9.285e-01,1,0,0.000,0.000,0.000,0.000,0000,CBAB,1,55238.417674,null,null,null,null,null,null,null
4,6,0.272758,-40.164717,2.3511251900e+02,4.2031470000e+00,235.1124700,4.2032049,15h40m26.99s,04d12m11.54s,0.4644,0.5458,0.1406,16.532,0.341,3.2,1.489e+00,13.721,0.120,9.1,7.834e-01,9.287,0.081,13.4,1.075e+00,7.350,null,1.4,1.239e+00,1,0,0.000,0.000,0.000,0.000,0000,BBAU,1,55238.483889,null,null,null,null,null,null,null
5,7,0.587057,8.688314,2.3509738700e+02,4.2076590000e+00,235.0974117,4.2078202,15h40m23.38s,04d12m28.15s,0.4968,0.5529,0.1518,16.668,null,1.0,9.131e-01,14.043,0.139,7.8,8.622e-01,9.173,0.077,14.0,6.763e-01,7.466,0.363,3.0,1.828e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55238.550105,null,null,null,null,null,null,null
6,8,0.372835,138.948014,2.3508224800e+02,4.2120670000e+00,235.0823162,4.2119889,15h40m19.76s,04d12m43.16s,0.5214,0.5789,0.1109,17.110,null,null,1.064e+00,13.993,0.129,8.4,6.135e-01,9.394,0.090,12.1,1.027e+00,7.639,0.421,2.6,1.019e+00,2,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55238.616193,null,null,null,null,null,null,null
7,9,0.227198,147.286373,2.3506707100e+02,4.2165910000e+00,235.0671052,4.2165379,15h40m16.11s,04d12m59.54s,0.5072,0.5903,0.1333,16.878,0.485,2.2,1.009e+00,13.827,0.134,8.1,6.929e-01,9.344,0.089,12.2,8.716e-01,7.471,0.379,2.9,7.980e-01,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55238.682409,null,null,null,null,null,null,null
8,10,0.233946,17.136534,2.3503666700e+02,4.2255430000e+00,235.0366862,4.2256051,15h40m08.80s,04d13m32.18s,0.5069,0.5628,0.1366,16.889,0.498,2.2,9.623e-01,14.222,0.156,7.0,1.274e+00,9.140,0.076,14.2,8.884e-01,7.043,null,1.7,1.419e+00,1,0,0.000,0.000,0.000,0.000,0000,CBAU,1,55238.814713,null,null,null,null,null,null,null
9,11,0.421621,62.322592,2.3500617200e+02,4.2345130000e+00,235.0062760,4.2345674,15h40m01.51s,04d14m04.44s,0.3825,0.4512,-0.0470,16.179,0.255,4.3,1.181e+00,13.634,0.093,11.7,7.659e-01,9.195,0.072,15.0,1.363e+00,7.278,null,1.6,9.577e-01,1,0,0.000,0.000,0.000,0.000,0000,BAAU,1,55238.947018,null,null,null,null,null,null,null
