,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,7,3.653890,178.679714,1.6105433100e+02,-7.8674935000e+01,161.0544501,-78.6759497,10h44m13.07s,-78d40m33.42s,0.0955,0.0986,0.0245,12.028,0.023,46.4,1.636e+00,11.698,0.035,31.1,1.488e+00,9.301,0.067,16.3,2.794e+01,7.243,0.275,4.0,1.888e+00,1,0,0.000,0.000,0.000,0.000,0000,AAAB,0,55245.911121,761427433,12.945,0.024,12.449,0.022,12.213,0.029
1,8,0.684182,-28.575764,1.6126296600e+02,-7.8619915000e+01,161.2625053,-78.6197481,10h45m03.00s,-78d37m11.09s,0.3206,0.2841,0.0910,15.737,0.209,5.2,9.838e+00,13.630,0.091,11.9,1.287e+00,8.709,0.045,24.0,1.647e+00,7.684,0.442,2.5,8.367e-01,2,0,0.000,0.000,0.000,0.000,0000,BAAC,0,55246.043425,null,null,null,null,null,null,null
2,9,0.251889,-2.549676,1.6146811100e+02,-7.8565069000e+01,161.4680953,-78.5649991,10h45m52.34s,-78d33m54.00s,0.3511,0.3207,-0.0244,17.101,null,null,1.429e+00,13.786,0.118,9.2,7.973e-01,8.707,0.046,23.9,1.085e+00,6.902,0.214,5.1,1.077e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55246.175729,null,null,null,null,null,null,null
3,10,0.056563,83.788588,1.6156995200e+02,-7.8537660000e+01,161.5700306,-78.5376583,10h46m16.81s,-78d32m15.57s,0.3157,0.2698,0.0425,16.944,null,0.3,1.674e+00,13.703,0.103,10.6,1.335e+00,8.598,0.042,25.9,9.239e-01,7.226,0.274,4.0,1.083e+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.241945,null,null,null,null,null,null,null
4,11,0.271907,161.199792,1.6166984800e+02,-7.8510396000e+01,161.6699702,-78.5104675,10h46m40.79s,-78d30m37.68s,0.3801,0.3201,-0.0325,17.060,null,0.1,8.948e-01,13.886,0.114,9.5,1.389e+00,8.721,0.050,21.9,9.891e-01,6.834,0.207,5.2,7.864e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55246.308033,null,null,null,null,null,null,null
5,12,0.166230,-161.939337,1.6177000700e+02,-7.8483074000e+01,161.7699353,-78.4831179,10h47m04.78s,-78d28m59.22s,0.3342,0.2783,0.0784,16.674,null,0.1,4.493e-01,14.143,0.163,6.6,7.941e-01,8.585,0.042,25.8,1.463e+00,6.994,0.224,4.8,1.772e+00,2,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55246.374249,null,null,null,null,null,null,null
6,13,0.421031,140.006835,1.6186824000e+02,-7.8455896000e+01,161.8686156,-78.4559856,10h47m28.47s,-78d27m21.55s,0.3518,0.3031,0.0821,16.595,0.352,3.1,8.509e-01,13.714,0.110,9.9,9.794e-01,8.767,0.045,24.3,1.325e+00,7.258,0.317,3.4,1.126e+00,1,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55246.440337,null,null,null,null,null,null,null
7,14,0.361939,178.410864,1.6196673100e+02,-7.8428660000e+01,161.9667449,-78.4287605,10h47m52.02s,-78d25m43.54s,0.3491,0.2953,0.0756,16.929,null,0.4,1.889e+00,13.693,0.096,11.3,8.939e-01,8.745,0.046,23.6,1.216e+00,6.771,0.195,5.6,6.910e-01,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.506553,null,null,null,null,null,null,null
8,15,0.291424,-151.439094,1.6206334200e+02,-7.8401569000e+01,162.0631495,-78.4016401,10h48m15.16s,-78d24m05.90s,0.3180,0.2828,-0.0647,16.342,null,1.9,1.494e+00,13.452,0.077,14.1,7.914e-01,8.676,0.044,24.4,1.301e+00,6.884,0.207,5.2,7.524e-01,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.572642,null,null,null,null,null,null,null
9,17,0.212415,-179.315106,1.6216021800e+02,-7.8374421000e+01,162.1602145,-78.3744800,10h48m38.45s,-78d22m28.13s,0.3516,0.3030,0.0587,16.382,null,1.9,6.943e-01,13.749,0.106,10.3,8.929e-01,8.729,0.047,23.1,1.072e+00,7.346,0.298,3.6,1.364e+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.638857,null,null,null,null,null,null,null
