,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.173770,68.615818,6.3472797000e+01,2.9020666000e+01,63.4728484,29.0206836,04h13m53.48s,29d01m14.46s,0.4464,0.4980,-0.0882,16.321,null,1.1,7.840e-01,13.609,0.107,10.1,1.243e+00,9.273,0.085,12.8,1.191e+00,7.666,0.468,2.3,9.179e-01,1,0,0.000,0.000,0.000,0.000,g000,UAAC,1,55246.197886,null,null,null,null,null,null,null
1,2,0.086062,41.516841,6.3504752000e+01,2.8899605000e+01,63.5047701,28.8996229,04h14m01.14s,28d53m58.64s,0.5543,0.6611,-0.1444,16.992,null,null,2.573e-01,14.139,0.161,6.8,7.027e-01,9.253,0.088,12.4,1.190e+00,6.966,null,1.4,9.210e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55246.330190,null,null,null,null,null,null,null
2,3,0.394747,-50.260646,6.3536901000e+01,2.8778548000e+01,63.5368048,28.7786181,04h14m08.83s,28d46m43.03s,0.6586,0.7645,-0.0930,16.354,null,1.3,8.798e-01,14.281,0.181,6.0,7.168e-01,9.362,0.099,10.9,1.185e+00,7.652,null,0.2,8.756e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55246.462494,null,null,null,null,null,null,null
3,5,0.376741,-14.966882,6.3569242000e+01,2.8657493000e+01,63.5692112,28.6575941,04h14m16.61s,28d39m27.34s,0.5340,0.6086,-0.1257,16.457,null,1.2,1.762e+00,13.923,0.136,8.0,9.433e-01,9.222,0.082,13.2,1.151e+00,7.163,null,1.5,7.161e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55246.594799,null,null,null,null,null,null,null
4,6,0.456739,-50.500227,6.3585466000e+01,2.8597052000e+01,63.5853545,28.5971327,04h14m20.49s,28d35m49.68s,0.6366,0.7144,0.1362,16.869,null,null,3.021e-01,14.088,0.141,7.7,6.535e-01,9.426,0.107,10.2,7.648e-01,7.648,0.447,2.4,8.217e-01,1,0,0.000,0.000,0.000,0.000,g000,UBAC,1,55246.660887,null,null,null,null,null,null,null
5,8,0.330702,-3.399250,6.3601773000e+01,2.8536444000e+01,63.6017668,28.5365357,04h14m24.42s,28d32m11.53s,0.5779,0.6577,-0.2582,16.361,null,1.5,1.298e+00,13.977,0.156,6.9,5.950e-01,9.294,0.090,12.1,1.146e+00,7.337,null,1.1,1.967e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55246.727103,null,null,null,null,null,null,null
6,9,0.079267,-125.864302,6.3618092000e+01,2.8476004000e+01,63.6180717,28.4759911,04h14m28.34s,28d28m33.57s,0.4582,0.5603,0.0333,16.193,null,1.9,6.946e-01,13.849,0.118,9.2,7.288e-01,9.112,0.077,14.2,1.196e+00,7.805,null,null,1.375e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55246.793191,null,null,null,null,null,null,null
7,10,0.572751,-93.784071,6.3618127000e+01,2.8475838000e+01,63.6179464,28.4758275,04h14m28.31s,28d28m32.98s,0.4335,0.4815,-0.1330,16.048,0.241,4.5,7.831e-01,13.803,0.111,9.8,5.335e-01,9.085,0.076,14.3,7.714e-01,7.649,0.477,2.3,9.169e-01,1,0,0.000,0.000,0.000,0.000,0000,BBAC,1,55246.793318,null,null,null,null,null,null,null
8,12,0.670562,60.543211,6.3650907000e+01,2.8354960000e+01,63.6510913,28.3550516,04h14m36.26s,28d21m18.19s,0.6009,0.5623,-0.1227,16.653,0.421,2.6,1.639e+00,13.872,0.122,8.9,7.192e-01,8.864,0.119,9.1,1.040e+00,7.574,0.433,2.5,1.293e+00,1,0,0.000,0.000,0.000,0.000,0000,CBBC,1,55246.925495,null,null,null,null,null,null,null
9,13,0.339760,-152.089701,6.3650943000e+01,2.8354795000e+01,63.6508928,28.3547116,04h14m36.21s,28d21m16.96s,0.4267,0.4935,-0.0870,16.323,null,1.6,1.494e+00,13.952,0.127,8.5,9.024e-01,8.994,0.067,16.2,8.803e-01,7.462,0.402,2.7,1.464e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55246.925622,null,null,null,null,null,null,null
