,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,6,1.813145,2.426287,2.6857681900e+02,6.5234842000e+01,268.5768699,65.2353452,17h54m18.45s,65d14m07.24s,1.6621,1.6700,0.4771,16.823,null,null,5.385e-01,15.791,null,0.0,7.822e-01,10.704,0.264,4.1,5.776e-01,7.596,0.375,2.9,1.060e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55264.805380,null,null,null,null,null,null,null
1,13,0.539905,65.748611,2.6873263400e+02,6.5110763000e+01,268.7329589,65.1108246,17h54m55.91s,65d06m38.97s,1.5907,1.6414,-0.4178,16.699,null,1.0,7.984e-01,15.235,null,1.3,1.034e+00,10.662,0.235,4.6,7.712e-01,7.910,0.516,2.1,1.309e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55265.400812,null,null,null,null,null,null,null
2,15,4.118536,169.699283,2.6874984800e+02,6.5097043000e+01,268.7503338,65.0959174,17h55m00.08s,65d05m45.30s,1.2534,1.3875,-0.1255,16.137,0.224,4.8,5.270e-01,15.501,null,0.7,7.001e-01,11.269,0.434,2.5,1.499e+00,7.431,null,1.0,1.468e+00,2,0,0.000,0.000,0.000,0.000,0000,BUCU,1,55265.467155,null,null,null,null,null,null,null
3,16,4.617175,62.605243,2.6876665000e+02,6.5082988000e+01,268.7693529,65.0835781,17h55m04.64s,65d05m00.88s,1.3056,1.4197,0.0577,16.375,0.276,3.9,6.089e-01,15.823,0.524,2.1,5.291e-01,11.259,0.405,2.7,1.339e+00,7.578,null,0.7,1.197e+00,1,0,0.000,0.000,0.000,0.000,0000,BCCU,1,55265.533116,null,null,null,null,null,null,null
4,17,2.815818,-18.763855,2.6878375500e+02,6.5069233000e+01,268.7831581,65.0699736,17h55m07.96s,65d04m11.90s,0.4333,0.4724,0.0485,14.882,0.084,13.0,1.201e+00,14.503,0.184,5.9,6.816e-01,10.964,0.333,3.3,1.161e+00,7.496,null,1.1,1.675e+00,1,0,0.000,0.000,0.000,0.000,0000,ABBU,1,55265.599459,687197826,15.704,0.059,15.298,0.082,14.729,0.104
5,18,0.490543,8.400319,2.6880045100e+02,6.5055144000e+01,268.8004982,65.0552788,17h55m12.12s,65d03m19.00s,1.2878,1.5154,-0.2186,17.200,null,null,5.951e-01,15.894,null,null,8.521e-01,10.395,0.187,5.8,9.023e-01,7.272,null,1.3,9.027e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55265.665420,null,null,null,null,null,null,null
6,25,2.453236,-12.958240,2.6890069500e+02,6.4971293000e+01,268.9003338,64.9719571,17h55m36.08s,64d58m19.05s,1.2955,1.2985,-0.1555,16.371,0.277,3.9,1.830e+00,15.044,null,1.5,1.000e+00,11.410,null,0.2,8.859e-01,7.375,0.317,3.4,9.818e-01,1,0,0.000,0.000,0.000,0.000,0000,BUUB,1,55266.062460,null,null,null,null,null,null,null
7,26,2.401381,22.245686,2.6891725300e+02,6.4957288000e+01,268.9178496,64.9579054,17h55m40.28s,64d57m28.46s,0.4463,0.5237,0.1779,14.878,0.085,12.8,7.966e-01,14.903,0.256,4.2,1.042e+00,10.821,0.286,3.8,1.538e+00,7.475,null,0.9,1.641e+00,1,0,0.000,0.000,0.000,0.000,0000,ABBU,1,55266.128675,687198062,15.834,0.064,15.106,0.077,15.006,0.135
8,27,1.730729,24.289529,2.6891737000e+02,6.4957395000e+01,268.9178372,64.9578332,17h55m40.28s,64d57m28.20s,0.4378,0.4963,0.1123,14.819,0.084,13.0,8.536e-01,15.115,0.297,3.7,5.678e-01,10.657,0.233,4.7,8.469e-01,7.959,null,null,1.217e+00,1,0,0.000,0.000,0.000,0.000,0000,ABBU,1,55266.128803,687198062,15.834,0.064,15.106,0.077,15.006,0.135
9,28,2.701877,-171.206580,2.6893364400e+02,6.4943160000e+01,268.9333731,64.9424183,17h55m44.01s,64d56m32.71s,1.9851,2.1958,0.1034,16.770,null,0.7,8.924e-01,15.709,null,null,1.069e+00,10.747,0.268,4.1,1.223e+00,7.620,null,0.5,1.073e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55266.194764,null,null,null,null,null,null,null
10,29,3.890759,-168.166908,2.6895021300e+02,6.4929227000e+01,268.9496900,64.9281692,17h55m47.93s,64d55m41.41s,1.7226,1.9039,0.4608,17.151,null,null,5.813e-01,15.576,null,null,7.911e-01,10.896,0.317,3.4,7.290e-01,7.482,null,1.0,9.226e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55266.261107,null,null,null,null,null,null,null
11,30,0.279147,-111.643879,2.6896638400e+02,6.4914954000e+01,268.9662140,64.9149254,17h55m51.89s,64d54m53.73s,1.3052,1.5167,-0.2751,16.616,0.435,2.5,4.589e-01,15.779,null,null,1.631e+00,10.592,0.226,4.8,1.315e+00,7.338,null,1.5,9.684e-01,2,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55266.327068,null,null,null,null,null,null,null
12,32,3.038846,-123.833372,2.6899891600e+02,6.4886672000e+01,268.9972639,64.8862020,17h55m59.34s,64d53m10.33s,1.6412,1.7704,-0.2081,16.979,0.482,2.3,5.810e-01,15.074,null,1.6,1.577e+00,11.082,0.358,3.0,1.374e+00,7.924,0.511,2.1,7.745e-01,1,0,0.000,0.000,0.000,0.000,0000,CUCC,1,55266.459372,null,null,null,null,null,null,null
13,33,1.007592,-1.425728,2.6901527300e+02,6.4872662000e+01,269.0152566,64.8729418,17h56m03.66s,64d52m22.59s,1.7676,2.0050,0.5251,16.604,null,0.0,5.534e-01,15.037,null,1.6,7.922e-01,10.658,0.249,4.4,1.229e+00,7.924,null,null,1.302e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55266.525715,null,null,null,null,null,null,null
14,35,2.238072,13.777131,2.6904748700e+02,6.4844265000e+01,269.0478353,64.8448688,17h56m11.48s,64d50m41.53s,1.5952,1.8791,0.4693,16.839,null,0.5,1.245e+00,15.742,null,null,1.346e+00,10.546,0.220,4.9,1.373e+00,7.928,null,null,1.005e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55266.658019,null,null,null,null,null,null,null
