,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,4,0.260198,65.301968,2.9147279000e+02,-2.1955054000e+01,291.4728608,-21.9550238,19h25m53.49s,-21d57m18.09s,0.9521,0.9938,-0.0916,16.897,null,null,9.418e-01,15.220,null,0.9,1.365e+00,9.780,0.134,8.1,7.596e-01,7.249,0.350,3.1,9.844e-01,3,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55297.438645,null,null,null,null,null,null,null
1,5,0.655633,148.691367,2.9164774400e+02,-2.1760881000e+01,291.6478459,-21.7610366,19h26m35.48s,-21d45m39.73s,0.6359,0.6920,0.1612,16.896,null,null,8.799e-01,14.979,0.328,3.3,2.626e-01,9.229,0.089,12.2,1.157e+00,7.217,0.312,3.5,9.823e-01,2,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55297.570822,null,null,null,null,null,null,null
2,6,1.041301,43.504287,2.9164793000e+02,-2.1760517000e+01,291.6481444,-21.7603072,19h26m35.55s,-21d45m37.11s,0.8392,0.8452,-0.2671,16.790,null,null,9.883e-01,14.639,0.234,4.6,7.449e-01,9.627,0.116,9.4,1.168e+00,7.165,null,1.3,1.438e+00,3,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55297.570950,null,null,null,null,null,null,null
3,7,1.497360,-177.706244,2.9182244800e+02,-2.1566009000e+01,291.8224301,-21.5664246,19h27m17.38s,-21d33m59.13s,0.7414,0.8413,-0.1212,16.949,null,null,1.235e+00,14.953,null,1.5,1.231e+00,9.441,0.100,10.8,1.333e+00,7.418,0.372,2.9,1.251e+00,1,0,0.000,0.000,0.000,0.000,0000,UUAC,1,55297.703126,null,null,null,null,null,null,null
4,8,0.821576,-156.070970,2.9199671700e+02,-2.1370807000e+01,291.9966176,-21.3710156,19h27m59.19s,-21d22m15.66s,0.7590,0.9025,-0.1485,16.944,null,0.0,8.752e-01,14.845,null,0.6,6.938e-01,9.424,0.103,10.6,7.920e-01,7.547,0.435,2.5,1.480e+00,1,0,0.000,0.000,0.000,0.000,0000,UUAC,1,55297.835431,null,null,null,null,null,null,null
5,9,0.364489,-109.261914,2.9217054900e+02,-2.1175293000e+01,292.1704465,-21.1753264,19h28m40.91s,-21d10m31.18s,0.6370,0.7132,-0.1436,16.470,0.353,3.1,4.102e+00,14.788,0.287,3.8,1.261e+00,9.460,0.102,10.6,8.709e-01,7.007,0.247,4.4,1.419e+00,1,0,0.000,0.000,0.000,0.000,0000,BBAB,1,55297.967735,null,null,null,null,null,null,null
6,10,0.790435,60.565702,2.9234394700e+02,-2.0979469000e+01,292.3441518,-20.9793611,19h29m22.60s,-20d58m45.70s,0.9777,1.1019,-0.2607,16.967,null,null,8.602e-01,15.248,null,0.5,1.289e+00,9.667,0.133,8.1,1.225e+00,7.358,0.372,2.9,5.909e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55298.100039,null,null,null,null,null,null,null
7,11,0.598841,65.265906,2.9251672700e+02,-2.0783707000e+01,292.5168886,-20.7836374,19h30m04.05s,-20d47m01.09s,0.6686,0.8365,-0.0381,16.877,0.522,2.1,1.098e+00,14.839,null,1.9,1.237e+00,9.372,0.097,11.2,1.906e+00,7.483,0.401,2.7,6.546e-01,1,0,0.000,0.000,0.000,0.000,0000,CUAC,1,55298.232216,null,null,null,null,null,null,null
8,12,0.663946,166.455431,2.9251691100e+02,-2.0783341000e+01,292.5169572,-20.7835203,19h30m04.07s,-20d47m00.67s,0.9636,1.0317,-0.2632,16.640,null,0.8,1.467e+00,14.950,null,1.3,7.761e-01,9.699,0.133,8.1,1.069e+00,7.347,0.366,3.0,1.782e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55298.232343,null,null,null,null,null,null,null
9,14,0.364471,-75.353236,2.9286135800e+02,-2.0390570000e+01,292.8612535,-20.3905444,19h31m26.70s,-20d23m25.96s,0.7165,0.8692,-0.1998,16.854,null,null,9.794e-01,15.496,null,null,1.019e+00,9.404,0.099,11.0,1.136e+00,7.081,null,1.9,1.736e+00,1,0,0.000,0.000,0.000,0.000,0000,UUAU,1,55298.496824,null,null,null,null,null,null,null
10,15,0.510425,59.762868,2.9294733500e+02,-2.0291932000e+01,292.9474656,-20.2918606,19h31m47.39s,-20d17m30.70s,0.7187,0.7542,-0.1702,16.325,0.323,3.4,1.242e+00,14.583,0.215,5.0,9.212e-01,9.529,0.112,9.7,1.095e+00,7.344,null,0.8,8.289e-01,1,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55298.563039,null,null,null,null,null,null,null
11,16,0.320411,-176.130300,2.9303302500e+02,-2.0193583000e+01,293.0330186,-20.1936718,19h32m07.92s,-20d11m37.22s,0.7559,0.8795,-0.1618,16.791,null,null,5.987e-01,14.790,null,2.0,7.167e-01,9.440,0.101,10.7,1.036e+00,7.621,0.447,2.4,7.396e-01,1,0,0.000,0.000,0.000,0.000,0000,UUAC,1,55298.629128,null,null,null,null,null,null,null
12,17,1.978799,96.266830,2.9311860600e+02,-2.0095169000e+01,293.1191878,-20.0952290,19h32m28.61s,-20d05m42.82s,0.3477,0.3855,0.0066,14.379,0.077,14.0,1.328e+00,14.266,0.179,6.1,1.531e+00,9.233,0.086,12.7,1.921e+00,7.186,0.303,3.6,6.691e-01,2,0,0.000,0.000,0.000,0.000,0000,ABAB,1,55298.695216,46673232,14.865,0.039,14.529,0.049,14.465,0.070
