,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,6,0.630388,-3.398239,1.9706484000e+02,3.7595177000e+01,197.0648269,37.5953518,13h08m15.56s,37d35m43.27s,0.7170,0.7642,0.2289,16.720,null,1.0,9.400e-01,14.826,0.245,4.4,1.374e+00,9.723,0.104,10.5,5.483e-01,7.296,null,1.8,7.405e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55359.728635,null,null,null,null,null,null,null
1,7,0.591221,-92.058769,1.9708926300e+02,3.7689960000e+01,197.0890556,37.6899541,13h08m21.37s,37d41m23.83s,0.8503,0.9099,0.3284,16.880,0.432,2.5,2.374e+00,14.676,0.224,4.9,1.865e+00,10.038,0.140,7.8,8.607e-01,7.311,null,1.6,9.708e-01,1,0,0.000,0.000,0.000,0.000,0000,CBBU,1,55359.860939,null,null,null,null,null,null,null
2,8,1.151919,-24.050049,1.9711396600e+02,3.7784832000e+01,197.1138010,37.7851242,13h08m27.31s,37d47m06.45s,1.0197,1.1126,0.4339,17.160,null,0.0,1.937e+00,15.492,null,0.6,1.030e+00,9.932,0.136,8.0,1.606e+00,7.839,0.488,2.2,9.691e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55359.993243,null,null,null,null,null,null,null
3,9,0.650358,12.011198,1.9712641300e+02,3.7832288000e+01,197.1264606,37.8324647,13h08m30.35s,37d49m56.87s,1.1120,1.1625,0.4265,17.263,null,null,6.478e-01,15.698,null,null,7.108e-01,10.097,0.147,7.4,1.288e+00,7.851,null,0.0,1.642e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55360.059458,null,null,null,null,null,null,null
4,10,0.872815,33.872506,1.9713894800e+02,3.7879795000e+01,197.1391192,37.8799963,13h08m33.39s,37d52m47.99s,0.7053,0.7830,0.3366,17.176,null,null,7.729e-01,14.679,0.202,5.4,1.333e+00,9.677,0.105,10.4,9.768e-01,7.332,null,1.5,1.229e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55360.125547,null,null,null,null,null,null,null
5,12,0.441959,-72.214225,1.9715153600e+02,3.7927294000e+01,197.1513878,37.9273315,13h08m36.33s,37d55m38.39s,1.1810,1.2351,0.4349,17.217,null,null,9.440e-01,15.594,0.495,2.2,8.580e-01,10.188,0.168,6.5,8.213e-01,7.613,null,0.7,1.471e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55360.191762,null,null,null,null,null,null,null
6,13,0.246611,42.134389,1.9716421100e+02,3.7974846000e+01,197.1642693,37.9748968,13h08m39.42s,37d58m29.63s,1.0905,1.1979,0.4540,17.188,null,null,9.645e-01,14.953,0.279,3.9,1.221e+00,10.284,0.171,6.4,8.762e-01,7.495,null,1.2,1.762e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55360.257850,null,null,null,null,null,null,null
7,14,0.234503,-166.350742,1.9716419300e+02,3.7974816000e+01,197.1641735,37.9747527,13h08m39.40s,37d58m29.11s,1.2213,1.3945,0.5042,17.195,null,null,7.743e-01,15.547,0.465,2.3,9.222e-01,10.329,0.177,6.1,4.249e-01,7.777,null,0.2,8.483e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55360.257978,null,null,null,null,null,null,null
8,15,0.299248,28.284415,1.9717693900e+02,3.8022391000e+01,197.1769890,38.0224642,13h08m42.48s,38d01m20.87s,0.7622,0.7967,0.3082,16.894,null,0.6,1.065e+00,15.032,0.303,3.6,6.176e-01,9.708,0.112,9.7,1.190e+00,7.183,0.273,4.0,8.496e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55360.324066,null,null,null,null,null,null,null
9,16,1.521779,-86.595730,1.9718973700e+02,3.8069959000e+01,197.1892010,38.0699841,13h08m45.41s,38d04m11.94s,1.1246,1.2110,0.4146,17.155,null,null,8.776e-01,15.479,null,0.6,1.036e+00,10.216,0.156,7.0,1.160e+00,7.243,null,1.8,1.241e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55360.390281,null,null,null,null,null,null,null
