,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,1.426399,59.868163,1.6390360000e+01,5.9476300000e-01,16.3907027,0.5949619,01h05m33.77s,00d35m41.86s,2.1343,2.3468,-0.6515,16.757,null,0.3,7.625e-01,15.639,null,null,1.069e+00,10.663,0.311,3.5,1.242e+00,7.263,null,1.5,9.886e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55385.089948,null,null,null,null,null,null,null
1,3,0.745945,111.042546,1.6461427000e+01,6.0363200000e-01,16.4616204,0.6035576,01h05m50.79s,00d36m12.81s,0.6919,0.7848,-0.1907,17.009,null,null,1.019e+00,15.523,null,null,1.101e+00,9.416,0.100,10.8,7.405e-01,7.083,0.275,3.9,1.846e+00,1,0,0.000,0.000,0.000,0.000,0000,UUAB,1,55385.354556,null,null,null,null,null,null,null
2,4,0.772941,-43.979399,1.6496873000e+01,6.0801000000e-01,16.4967239,0.6081645,01h05m59.21s,00d36m29.39s,0.9515,1.0542,-0.3308,16.951,null,0.1,1.340e+00,15.489,null,0.1,9.225e-01,9.854,0.137,7.9,8.627e-01,7.248,0.307,3.5,1.619e+00,1,0,0.000,0.000,0.000,0.000,H0ll,UUBB,1,55385.486859,null,null,null,null,null,null,null
3,6,1.200156,-29.624089,1.6549917000e+01,6.1449700000e-01,16.5497522,0.6147868,01h06m11.94s,00d36m53.23s,0.9406,1.0435,-0.3044,16.941,null,0.2,1.078e+00,15.169,null,1.2,1.011e+00,9.727,0.125,8.7,1.242e+00,7.216,null,1.5,1.012e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55385.685252,null,null,null,null,null,null,null
4,7,0.579837,-173.404842,1.6567594000e+01,6.1665300000e-01,16.5675755,0.6164930,01h06m16.22s,00d36m59.37s,0.8061,0.8816,-0.1880,16.983,null,0.1,7.606e-01,15.257,null,0.9,7.289e-01,9.697,0.127,8.6,1.045e+00,6.780,0.219,5.0,1.122e+00,2,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55385.751468,null,null,null,null,null,null,null
5,9,0.455899,28.587381,1.6602866000e+01,6.2091800000e-01,16.6029266,0.6210292,01h06m24.70s,00d37m15.71s,0.7112,0.7571,-0.1684,16.715,null,0.8,1.236e+00,15.254,0.474,2.3,1.008e+00,9.611,0.119,9.1,7.010e-01,6.541,0.178,6.1,8.766e-01,1,0,0.000,0.000,0.000,0.000,000l,UCBB,1,55385.883772,null,null,null,null,null,null,null
6,10,0.748154,-8.383047,1.6620463000e+01,6.2302700000e-01,16.6204327,0.6232326,01h06m28.90s,00d37m23.64s,1.3787,1.5722,-0.4401,16.775,null,0.5,4.812e-01,15.230,null,0.4,1.308e+00,10.095,0.182,6.0,8.144e-01,7.397,null,1.0,1.179e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55385.949860,null,null,null,null,null,null,null
7,11,0.463797,48.301982,1.6638081000e+01,6.2514400000e-01,16.6381772,0.6252297,01h06m33.16s,00d37m30.83s,0.9348,0.9237,-0.1821,16.717,null,0.7,1.324e+00,15.193,null,1.0,8.734e-01,9.847,0.141,7.7,7.277e-01,6.829,0.225,4.8,1.709e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55386.016076,null,null,null,null,null,null,null
8,12,1.182762,133.558830,1.6655648000e+01,6.2723500000e-01,16.6558861,0.6270086,01h06m37.41s,00d37m37.23s,0.8453,0.9511,-0.3143,16.378,null,1.5,1.138e+00,15.247,0.477,2.3,9.764e-01,9.574,0.119,9.1,1.312e+00,7.333,0.373,2.9,1.292e+00,2,0,0.000,0.000,0.000,0.000,00l0,UCBC,1,55386.082164,null,null,null,null,null,null,null
9,13,0.581284,-147.778031,1.6690775000e+01,6.3140500000e-01,16.6906889,0.6312684,01h06m45.77s,00d37m52.57s,0.7401,0.8561,-0.2616,16.973,null,0.1,5.289e-01,15.145,null,1.2,1.105e+00,9.472,0.104,10.5,1.762e+00,7.137,0.331,3.3,7.894e-01,1,0,0.000,0.000,0.000,0.000,0000,UUAB,1,55386.214468,null,null,null,null,null,null,null
10,14,1.459064,-1.244059,1.6725843000e+01,6.3553700000e-01,16.7258342,0.6359422,01h06m54.20s,00d38m09.39s,1.4074,1.5790,-0.4314,16.671,null,0.4,1.186e+00,15.540,null,null,8.024e-01,10.366,0.229,4.7,5.667e-01,7.135,null,1.9,1.553e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55386.346771,null,null,null,null,null,null,null
11,15,1.307956,59.169891,1.6760852000e+01,6.3963100000e-01,16.7611640,0.6398172,01h07m02.68s,00d38m23.34s,1.3909,1.5217,-0.4904,17.048,null,null,1.323e+00,15.182,null,1.1,9.536e-01,10.272,0.206,5.3,1.954e+00,7.074,null,1.6,1.405e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55386.479075,null,null,null,null,null,null,null
12,16,0.475445,-12.772719,1.6795802000e+01,6.4368700000e-01,16.7957728,0.6438158,01h07m10.99s,00d38m37.74s,0.7217,0.7857,-0.2201,16.597,null,1.2,1.176e+00,15.409,null,0.6,1.018e+00,9.551,0.107,10.2,7.636e-01,6.938,0.273,4.0,7.767e-01,1,0,0.000,0.000,0.000,0.000,0000,UUAB,1,55386.611379,null,null,null,null,null,null,null
