,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,14,2.215138,79.465482,2.5386569900e+02,-4.3789255000e+01,253.8665370,-43.7891425,16h55m27.97s,-43d47m20.91s,0.3505,0.3729,-0.0338,12.054,0.076,14.3,4.844e+00,12.005,0.083,13.1,3.485e+00,10.765,null,null,4.725e-01,6.712,null,null,2.751e-01,1,0,0.000,0.000,0.000,0.000,g0DD,AAUU,0,55265.024019,472019528,16.963,null,13.892,0.091,12.826,0.071
1,20,2.138760,163.590333,2.5522890300e+02,-4.3969286000e+01,255.2291362,-43.9698559,17h00m54.99s,-43d58m11.48s,0.0692,0.0616,0.0212,7.989,0.022,49.8,8.507e-01,8.038,0.018,59.0,9.008e-01,7.795,0.070,15.6,3.439e-01,6.965,null,0.7,4.169e-01,1,0,0.014,0.000,0.000,0.000,00hH,AAAU,0,55265.817971,555911328,10.677,0.023,9.098,0.022,8.353,0.033
2,22,4.696860,38.433741,2.5568585600e+02,-4.4025891000e+01,255.6869839,-44.0248690,17h02m44.88s,-44d01m29.53s,0.0771,0.0694,0.0165,8.864,0.020,55.4,8.443e+00,9.030,0.020,54.0,3.087e+00,9.004,0.088,12.3,8.545e-01,7.595,null,null,8.250e-01,2,0,0.000,0.000,0.000,0.000,0000,AAAU,0,55266.082579,556154483,10.642,0.026,9.577,0.025,9.169,0.023
3,28,1.978161,-176.928877,2.5637388500e+02,-4.4107484000e+01,256.3738440,-44.1080327,17h05m29.72s,-44d06m28.92s,0.0559,0.0536,0.0194,7.405,0.023,46.7,1.188e+00,7.291,0.015,72.6,2.437e+00,5.964,0.018,59.2,3.464e-01,4.913,0.095,11.4,7.252e-01,1,0,0.014,0.000,0.000,0.000,0000,AAAA,0,55266.479618,556499895,9.856,0.022,8.430,0.049,7.725,0.018
4,31,3.710136,124.897036,2.5671870600e+02,-4.4146857000e+01,256.7198840,-44.1474466,17h06m52.77s,-44d08m50.81s,0.3091,0.3277,0.0649,12.873,0.056,19.2,1.212e+00,13.161,0.124,8.8,1.350e+00,11.174,null,null,9.172e-01,7.913,null,null,1.180e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55266.678010,556667062,14.653,0.036,13.419,0.021,13.050,0.031
5,35,4.183321,-9.706138,2.5706443600e+02,-4.4185178000e+01,257.0641628,-44.1840326,17h08m15.40s,-44d11m02.52s,0.3153,0.3447,-0.0794,13.051,0.066,16.5,4.017e+00,12.850,0.074,14.6,5.431e+00,10.625,null,0.6,6.177e-01,7.815,null,null,1.333e+00,1,0,0.000,0.000,0.000,0.000,hh0d,AAUU,0,55266.876530,556832135,15.059,0.056,13.843,0.078,13.428,0.052
6,37,2.659219,55.659057,2.5729521200e+02,-4.4210191000e+01,257.2960629,-44.2097743,17h09m11.06s,-44d12m35.19s,0.2022,0.2578,0.0274,12.259,0.065,16.6,1.300e+00,11.867,0.040,27.2,3.960e+00,10.708,0.296,3.7,1.901e+00,7.883,null,null,1.412e+00,1,0,0.000,0.000,0.000,0.000,0000,AABU,0,55267.008834,857088548,14.147,0.050,12.960,0.052,12.489,0.041
7,38,4.926902,113.609234,2.5741082600e+02,-4.4222503000e+01,257.4125759,-44.2230511,17h09m39.02s,-44d13m22.98s,0.2637,0.2781,0.0066,13.445,0.048,22.4,6.037e+00,14.037,0.229,4.7,1.670e+00,10.925,null,null,4.018e-01,7.958,null,null,1.584e+00,1,0,0.000,0.000,0.000,0.000,0H00,ABUU,0,55267.075050,857154822,14.995,0.052,14.016,0.041,13.621,0.062
8,51,0.877338,-144.256264,2.5903536700e+02,-4.4383372000e+01,259.0351678,-44.3835698,17h16m08.44s,-44d23m00.85s,0.2853,0.3076,-0.0545,13.441,0.053,20.5,2.999e+00,13.734,0.151,7.2,1.123e+00,11.331,null,null,1.807e+00,7.632,null,null,1.346e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55268.001305,656515587,14.516,0.046,13.800,0.047,13.583,0.055
9,77,4.151310,-11.841847,2.7901180000e+01,2.5092597000e+01,27.9009187,25.0937256,01h51m36.22s,25d05m37.41s,0.6524,0.6461,-0.2235,15.116,0.120,9.0,9.529e-01,14.384,0.178,6.1,1.339e+00,11.317,null,0.0,1.063e+00,7.792,null,null,8.417e-01,2,0,0.000,0.000,0.000,0.000,0000,BBUU,0,55404.533893,null,null,null,null,null,null,null
