,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,2,4.123268,-121.773712,2.8626890900e+02,-2.2030036000e+01,286.2678586,-22.0306391,19h05m04.29s,-22d01m50.30s,0.4801,0.5593,-0.1837,14.606,0.090,12.1,1.290e+00,14.981,null,0.3,9.221e-01,11.294,null,null,6.957e-01,7.831,null,null,1.056e+00,3,0,0.000,0.000,0.000,0.000,0000,AUUU,0,55289.565594,1109800376,15.598,0.076,15.080,0.089,15.190,0.146
1,3,4.561355,-118.526950,2.8626899100e+02,-2.2030000000e+01,286.2677901,-22.0306051,19h05m04.27s,-22d01m50.18s,0.6034,0.7005,-0.1276,14.806,0.110,9.8,6.394e-01,14.577,null,0.7,1.209e+00,11.302,null,null,1.143e+00,7.566,null,null,8.540e-01,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55289.565721,1109800376,15.598,0.076,15.080,0.089,15.190,0.146
2,24,3.844929,-15.194386,2.8738564000e+02,-2.1949079000e+01,287.3853382,-21.9480483,19h09m32.48s,-21d56m52.97s,1.5996,1.8805,-0.3049,16.508,null,null,2.157e+00,14.052,0.271,4.0,1.873e+00,10.979,null,null,8.367e-01,6.338,null,1.4,7.393e+00,1,0,0.000,0.000,0.000,0.000,H00d,UBUU,0,55291.352017,null,null,null,null,null,null,null
3,31,4.263671,-143.593745,2.8939898100e+02,-2.1787265000e+01,289.3982240,-21.7882182,19h17m35.57s,-21d47m17.59s,0.1896,0.1753,-0.0716,12.890,0.041,26.8,2.133e+00,12.843,0.060,18.1,9.046e-01,11.336,null,null,7.245e-01,7.848,null,null,1.174e+00,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55294.593661,5056608,13.311,0.025,12.963,0.028,12.853,0.032
4,32,4.743850,-145.988277,2.8939906300e+02,-2.1787226000e+01,289.3982692,-21.7883183,19h17m35.58s,-21d47m17.95s,0.1490,0.1402,-0.0331,12.840,0.031,34.6,1.504e+00,12.749,0.059,18.3,5.720e-01,10.926,null,0.9,1.389e+00,7.167,null,1.6,1.103e+00,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55294.593789,5056608,13.311,0.025,12.963,0.028,12.853,0.032
5,34,4.310856,83.921746,2.8956263700e+02,-2.1773197000e+01,289.5639192,-21.7730702,19h18m15.34s,-21d46m23.05s,3.5079,3.9741,-0.8368,16.357,null,0.4,1.120e+00,14.921,null,1.1,8.154e-01,11.300,null,null,9.142e-01,7.612,null,0.4,1.041e+00,1,0,0.000,0.000,0.000,0.000,0000,UUUU,0,55294.858397,5100052,16.863,0.153,16.229,0.194,16.945,null
6,46,3.800869,-117.744399,2.9021573500e+02,-2.1715877000e+01,290.2147292,-21.7163685,19h20m51.54s,-21d42m58.93s,0.3950,0.4247,-0.0614,14.362,0.073,14.8,6.986e-01,14.391,0.208,5.2,1.250e+00,10.747,null,1.3,1.366e+00,7.807,0.525,2.1,9.223e-01,1,0,0.000,0.000,0.000,0.000,0000,ABUC,0,55295.916830,5250303,15.296,0.042,14.657,0.057,14.341,0.071
7,47,3.997822,-112.730909,2.9021581600e+02,-2.1715838000e+01,290.2147135,-21.7162671,19h20m51.53s,-21d42m58.56s,0.4728,0.4651,-0.0769,14.383,0.079,13.8,1.085e+00,14.844,0.276,3.9,9.162e-01,11.257,null,null,1.048e+00,7.444,null,0.7,8.852e-01,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55295.916957,5250303,15.296,0.042,14.657,0.057,14.341,0.071
8,48,4.161304,-99.310236,2.9025653000e+02,-2.1712212000e+01,290.2553022,-21.7123990,19h21m01.27s,-21d42m44.64s,1.2517,1.3379,-0.4093,15.880,0.214,5.1,8.922e-01,15.575,null,null,7.356e-01,10.693,null,1.4,1.261e+00,7.795,0.533,2.0,8.168e-01,1,0,0.000,0.000,0.000,0.000,0000,BUUC,0,55295.983046,null,null,null,null,null,null,null
9,56,0.756823,-153.171544,2.9066373900e+02,-2.1675311000e+01,290.6636369,-21.6754986,19h22m39.27s,-21d40m31.79s,0.1194,0.1217,-0.0374,12.165,0.028,39.4,4.533e+00,12.197,0.043,25.0,2.255e+00,11.132,null,0.2,1.879e+00,7.697,null,null,8.472e-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55296.644694,5373967,12.887,0.024,12.399,0.028,12.327,0.026
