,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,2,4.110100,140.071333,2.6406923000e+02,-1.8739216000e+01,264.0700038,-18.7400915,17h36m16.80s,-18d44m24.33s,0.8339,0.9108,-0.3629,15.857,null,null,1.719e+00,15.441,null,null,1.187e+00,9.673,0.167,6.5,4.643e+00,7.464,null,0.4,4.586e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55270.378448,null,null,null,null,null,null,null
1,5,3.377980,106.557509,2.6424659800e+02,-1.8727253000e+01,264.2475477,-18.7275204,17h36m59.41s,-18d43m39.07s,1.0542,1.2322,0.1709,14.548,0.202,5.4,1.289e+00,14.701,null,1.2,1.316e+00,10.721,0.324,3.3,1.362e+00,7.477,null,0.8,9.637e-01,1,0,0.000,0.000,0.000,0.000,0000,BUBU,0,55270.775360,73801589,14.997,0.075,14.450,0.089,14.457,0.092
2,16,1.420930,99.743777,2.6457176000e+02,-1.8704457000e+01,264.5721707,-18.7045238,17h38m17.32s,-18d42m16.29s,0.1148,0.1331,0.0112,11.886,0.030,35.8,5.500e+00,11.914,0.036,30.0,2.919e+00,11.186,null,null,1.986e+00,7.812,null,null,1.246e+00,1,0,0.000,0.000,0.000,0.000,hh00,AAUU,0,55271.503223,73952317,12.990,0.023,12.237,0.025,12.087,0.026
3,23,0.807514,-29.044951,3.3258368000e+01,3.0275417000e+01,33.2582419,30.2756131,02h13m01.98s,30d16m32.21s,0.8482,0.8585,-0.2775,16.262,null,1.8,5.884e-01,14.957,0.277,3.9,4.283e-01,9.677,0.117,9.2,8.373e-01,7.224,null,1.7,1.159e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55413.595495,null,null,null,null,null,null,null
4,24,1.226165,-60.290991,3.3616905000e+01,3.0289462000e+01,33.6165624,30.2896308,02h14m27.97s,30d17m22.67s,0.8705,0.9823,-0.2786,17.072,null,null,9.176e-01,14.565,0.237,4.6,1.037e+00,9.821,0.134,8.1,1.125e+00,7.810,null,null,1.025e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55413.727798,null,null,null,null,null,null,null
5,25,0.637854,-43.745135,3.3974399000e+01,3.0302465000e+01,33.9742571,30.3025930,02h15m53.82s,30d18m09.33s,0.9481,1.0377,-0.3155,16.290,null,2.0,1.242e+00,14.930,0.306,3.6,9.316e-01,9.866,0.147,7.4,1.082e+00,7.189,null,1.7,8.488e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55413.860102,null,null,null,null,null,null,null
6,26,0.348639,-158.012091,3.4152574000e+01,3.0308479000e+01,34.1525320,30.3083892,02h16m36.61s,30d18m30.20s,0.7845,0.8725,-0.2014,16.464,null,0.9,1.934e+00,14.746,0.257,4.2,9.756e-01,9.745,0.122,8.9,9.816e-01,7.415,0.353,3.1,7.844e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55413.926191,null,null,null,null,null,null,null
7,27,0.254351,-54.826497,3.4330828000e+01,3.0314429000e+01,34.3307611,30.3144697,02h17m19.38s,30d18m52.09s,0.9901,0.9892,-0.3372,16.528,null,1.0,8.302e-01,14.482,0.228,4.8,6.661e-01,10.126,0.168,6.5,9.474e-01,7.344,0.344,3.2,1.664e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55413.992406,null,null,null,null,null,null,null
8,28,1.840355,-110.939706,3.4508460000e+01,3.0319927000e+01,34.5079069,30.3197443,02h18m01.90s,30d19m11.08s,1.0870,1.2627,-0.3474,17.099,null,null,1.497e+00,15.341,0.463,2.3,9.158e-01,9.958,0.152,7.2,1.170e+00,7.799,null,0.1,7.314e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55414.058494,null,null,null,null,null,null,null
9,29,0.102904,19.767805,3.4686172000e+01,3.0325365000e+01,34.6861832,30.3253919,02h18m44.68s,30d19m31.41s,0.8620,0.9220,-0.2305,17.078,null,null,1.727e+00,14.656,0.265,4.1,7.989e-01,9.849,0.129,8.4,3.354e-01,7.923,null,0.1,9.448e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55414.124710,null,null,null,null,null,null,null
10,30,1.010414,150.424075,3.4863257000e+01,3.0330355000e+01,34.8634175,30.3301109,02h19m27.22s,30d19m48.40s,1.0260,1.2853,-0.3607,17.082,null,null,1.114e+00,15.369,0.395,2.8,1.075e+00,9.993,0.149,7.3,1.696e+00,7.722,null,0.5,7.711e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55414.190798,null,null,null,null,null,null,null
11,32,1.525787,-146.128107,3.5216944000e+01,3.0339771000e+01,35.2166703,30.3394191,02h20m52.00s,30d20m21.91s,0.8719,1.0402,-0.3391,16.733,0.413,2.6,1.151e+00,15.219,0.375,2.9,7.938e-01,9.896,0.136,8.0,9.628e-01,7.227,null,1.5,1.219e+00,2,0,0.000,0.000,0.000,0.000,0000,CCBU,1,55414.323102,null,null,null,null,null,null,null
12,33,0.771327,-122.145383,3.5217296000e+01,3.0339963000e+01,35.2170858,30.3398490,02h20m52.10s,30d20m23.46s,0.9123,1.0310,-0.2852,16.748,null,0.7,4.325e-01,14.798,0.252,4.3,1.390e+00,10.076,0.159,6.8,7.320e-01,7.545,0.469,2.3,1.308e+00,2,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55414.323230,null,null,null,null,null,null,null
