,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,3,3.827851,55.706976,1.5085429100e+02,-6.4602003000e+01,150.8563391,-64.6014039,10h03m25.52s,-64d36m05.05s,0.4287,0.4428,0.1089,14.664,0.077,14.2,1.092e+00,14.364,0.170,6.4,1.046e+00,10.936,null,1.5,1.056e+00,7.937,null,null,7.967e-01,1,0,0.000,0.000,0.000,0.000,0000,ABUU,1,55212.165212,941842237,14.882,0.037,14.528,0.061,14.304,0.083
1,4,3.374694,76.741911,1.5084459900e+02,-6.4601519000e+01,150.8467263,-64.6013040,10h03m23.21s,-64d36m04.69s,2.8225,3.0988,1.8126,15.525,null,1.5,1.011e+00,15.219,0.536,2.0,1.109e+00,11.255,null,null,1.097e+00,7.421,null,1.5,1.485e+00,1,0,0.000,0.000,0.000,0.000,DD00,UCUU,1,55212.231429,null,null,null,null,null,null,null
2,8,3.764665,41.716341,1.5081496400e+02,-6.4600026000e+01,150.8165863,-64.5992454,10h03m15.98s,-64d35m57.28s,0.9480,0.9518,-0.2285,15.636,0.171,6.4,9.538e-01,15.417,null,0.7,9.664e-01,11.105,null,0.9,6.553e-01,7.102,0.315,3.4,2.354e+00,1,0,0.000,0.000,0.000,0.000,0000,BUUB,1,55212.429949,null,null,null,null,null,null,null
3,19,4.069004,107.619093,1.5071300100e+02,-6.4593490000e+01,150.7155119,-64.5938321,10h02m51.72s,-64d35m37.80s,0.8992,0.9160,0.2807,15.477,0.157,6.9,2.136e+00,15.646,0.497,2.2,8.877e-01,11.425,null,null,1.658e+00,7.659,null,0.7,4.832e-01,1,0,0.000,0.000,0.000,0.000,0000,BCUU,1,55213.091600,941762872,15.809,0.086,15.361,0.136,15.195,null
4,20,4.508342,-5.524800,1.5070266600e+02,-6.4592653000e+01,150.7023850,-64.5914065,10h02m48.57s,-64d35m29.06s,1.9380,1.6069,0.2406,16.684,null,null,1.464e+00,15.475,null,0.4,7.216e-01,10.524,0.255,4.3,3.078e+00,7.224,null,1.8,1.042e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55213.157816,null,null,null,null,null,null,null
5,24,4.254064,90.297013,1.5066029700e+02,-6.4589240000e+01,150.6630508,-64.5892461,10h02m39.13s,-64d35m21.29s,1.1520,1.1327,0.3931,15.931,0.223,4.9,1.215e+00,15.020,null,1.6,1.461e+00,10.662,0.245,4.4,1.727e+00,7.866,null,0.0,1.646e+00,2,0,0.000,0.000,0.000,0.000,0000,BUBU,1,55213.422426,null,null,null,null,null,null,null
6,26,1.309913,-19.870971,1.2909271500e+02,6.4595981000e+01,129.0924267,64.5963232,08h36m22.18s,64d35m46.76s,2.0849,2.2280,0.6668,16.938,null,0.2,6.789e-01,15.579,null,0.2,1.045e+00,10.782,0.283,3.8,6.852e-01,7.440,null,1.0,1.157e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55292.517923,null,null,null,null,null,null,null
7,27,1.288174,-61.688962,1.2912506400e+02,6.4716503000e+01,129.1243264,64.7166727,08h36m29.84s,64d43m00.02s,1.7345,1.9384,0.5360,16.448,null,1.2,7.332e-01,15.625,0.512,2.1,1.173e+00,10.870,0.314,3.5,8.745e-01,7.325,null,1.6,1.195e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55292.650227,null,null,null,null,null,null,null
8,28,4.897362,-29.679514,1.2915765300e+02,6.4836020000e+01,129.1560688,64.8372019,08h36m37.46s,64d50m13.93s,1.5952,1.8409,0.6820,16.972,null,null,6.836e-01,15.098,null,1.7,2.309e+00,10.524,0.235,4.6,1.052e+00,7.931,null,null,1.469e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55292.782531,null,null,null,null,null,null,null
9,38,2.315043,10.351880,1.2934088700e+02,6.5475805000e+01,129.3411654,65.4764376,08h37m21.88s,65d28m35.18s,1.6506,1.8776,0.5414,16.902,null,0.4,1.168e+00,15.695,null,null,1.278e+00,10.531,0.217,5.0,1.115e+00,8.041,null,null,8.010e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55293.510394,null,null,null,null,null,null,null
