,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,7,3.807275,5.560480,2.2449011400e+02,-1.7588061000e+01,224.4902215,-17.5870084,14h57m57.65s,-17d35m13.23s,0.9356,1.1466,0.3122,15.508,0.192,5.7,6.451e-01,14.564,0.396,2.7,6.262e-01,10.810,0.372,2.9,1.417e+00,7.774,null,null,1.139e+00,1,0,0.000,0.000,0.000,0.000,0000,BCCU,0,55231.871482,null,null,null,null,null,null,null
1,10,2.033670,134.223514,2.2467289400e+02,-1.7638988000e+01,224.6733188,-17.6393820,14h58m41.60s,-17d38m21.78s,0.8213,1.0407,-0.3004,15.251,0.182,6.0,1.130e+00,14.591,0.489,2.2,1.088e+00,10.761,null,0.1,1.481e+00,7.472,null,null,8.606e-01,1,0,0.000,0.000,0.000,0.000,0000,BCUU,0,55232.136218,1233678485,15.851,0.083,14.992,0.087,15.066,0.161
2,30,4.263449,102.523609,2.2929067100e+02,-1.8859048000e+01,229.2918927,-18.8593048,15h17m10.05s,-18d51m33.50s,0.7861,0.8959,0.0370,15.345,0.136,8.0,2.166e-01,15.201,null,0.6,1.087e+00,10.707,null,1.2,8.815e-01,7.661,null,null,5.916e-01,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55238.488219,1288571929,15.645,0.065,15.106,0.098,15.132,0.135
3,55,3.303663,-108.389222,2.3088772300e+02,-1.9250611000e+01,230.8868006,-19.2509005,15h23m32.83s,-19d15m03.24s,0.8944,1.0491,0.1325,15.532,0.161,6.8,6.181e-01,14.846,null,1.4,7.091e-01,11.281,null,null,1.290e+00,7.747,null,0.2,1.243e+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55240.539379,1274307507,15.732,0.066,15.142,0.102,15.516,0.230
4,59,4.436340,-37.344272,2.5332966300e+02,-2.3036920000e+01,253.3288507,-23.0359403,16h53m18.92s,-23d02m09.39s,0.8419,0.8782,0.0225,15.164,0.157,6.9,1.379e+00,14.271,null,1.4,8.862e-01,9.768,0.232,4.7,9.830e-01,6.678,null,0.3,4.877e-01,1,0,0.000,0.000,0.000,0.000,0000,BUBU,0,55262.903081,70237712,16.710,0.131,15.403,null,15.639,0.265
5,75,1.863737,-70.654239,2.6054314500e+02,-2.3561521000e+01,260.5426121,-23.5613495,17h22m10.23s,-23d33m40.86s,0.1222,0.1339,-0.0301,12.205,0.025,43.2,2.020e+01,12.269,0.048,22.4,4.014e+00,10.897,0.383,2.8,1.075e+00,7.498,null,0.8,9.211e-01,1,0,0.000,0.000,0.000,0.000,h00d,AACU,0,55268.196005,426268946,13.670,0.051,12.984,0.071,12.837,0.052
6,79,4.843897,-41.791126,2.6102491000e+02,-2.3584507000e+01,261.0239316,-23.5835038,17h24m05.74s,-23d35m00.61s,0.1317,0.1442,-0.0118,12.041,0.031,35.4,2.480e+00,12.180,0.048,22.5,1.409e+00,10.985,null,null,6.935e-01,7.533,null,null,1.162e+00,3,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55268.526828,629047085,13.449,0.032,12.609,0.035,12.296,0.029
7,84,3.380309,-51.032810,2.6141295200e+02,-2.3601942000e+01,261.4121553,-23.6013515,17h25m38.92s,-23d36m04.87s,0.1386,0.1440,-0.0183,11.770,0.032,33.5,5.435e+00,11.655,0.038,28.5,2.463e+00,11.270,null,null,1.017e+00,7.626,null,null,1.112e+00,2,0,0.000,0.000,0.000,0.000,hhDD,AAUU,0,55268.791436,42510689,13.201,0.032,12.336,0.036,12.017,0.029
8,85,1.731108,-77.838909,2.6151043600e+02,-2.3606147000e+01,261.5099230,-23.6060457,17h26m02.38s,-23d36m21.76s,0.4320,0.4560,-0.1112,13.436,0.076,14.3,2.156e+00,13.770,0.184,5.9,1.308e+00,11.067,null,null,9.576e-01,7.677,null,null,1.059e+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55268.857652,42510734,14.693,0.028,13.781,0.022,13.376,0.027
9,86,3.411577,121.851758,2.6160787800e+02,-2.3610331000e+01,261.6087565,-23.6108311,17h26m26.10s,-23d36m38.99s,0.0798,0.0791,0.0266,10.110,0.023,47.1,1.343e+00,10.244,0.021,50.5,1.091e+00,10.295,0.247,4.4,1.194e+00,7.227,null,1.5,1.235e+00,1,0,0.000,0.000,0.000,0.000,0000,AABU,0,55268.923740,42519796,11.776,0.024,10.697,0.023,10.310,0.019
