,Name,Diam,Class,H,time,type,PHA
0,2020BJ4,0.124,S*,21.89,2020,Apollo,Potentially
1,2020UF2,0.13,S*,21.8,2020,Apollo,Potentially
2,2020SP4,0.124,S*,21.9,2020,Apollo,Potentially
3,2015RH2,0.102,S*,22.32,2019,Apollo,Potentially
4,2019QD6,0.142,S*,21.6,2019,Apollo,Potentially
5,2019ND7,0.156,S*,21.4,2019,Apollo,Potentially
6,2004TB10,0.156,S*,21.4,2019,Apollo,Potentially
7,2018EB,0.13,S*,21.8,2018,Amor,Potentially
8,2018CZ2,0.156,S*,21.4,2018,Apollo,Potentially
9,1993VD,0.149,S*,21.5,2018,Aten,Potentially
10,2015DP155,0.142,S*,21.6,2018,Amor,Potentially
11,2018EE,0.13,S*,21.8,2018,Apollo,Potentially
12,2017WK14,0.13,S*,21.8,2017,Apollo,Potentially
13,2017BQ6,0.156,S*,21.4,2017,Apollo,Potentially
14,2017ER13,0.142,S*,21.6,2017,Apollo,Potentially
15,2016JC6,0.158,S*,21.37,2016,Aten,Potentially
16,2016HN3,0.142,S*,21.6,2016,Apollo,Potentially
17,2016CL136,0.158,S*,21.37,2016,Aten,Potentially
18,2016AZ8,0.153,S*,21.44,2016,Apollo,Potentially
19,2009DL46,0.118,S*,22.0,2016,Amor,Potentially
20,2010FR,0.136,S*,21.7,2016,Apollo,Potentially
21,2011BT15,0.136,S*,21.7,2016,Apollo,Potentially
22,2016UZ25,0.142,S*,21.6,2016,Apollo,Potentially
23,2015TX24,0.144,S*,21.58,2015,Apollo,Potentially
24,2015GY,0.136,S*,21.7,2015,Apollo,Potentially
25,1998FL3,0.118,S*,22.0,2015,Apollo,Potentially
26,2015LK24,0.142,S*,21.6,2015,Amor,Potentially
27,2015TK238,0.124,S*,21.9,2015,Apollo,Potentially
28,2013BZ45,0.127,S*,21.84,2014,Apollo,Potentially
29,2014BX2,0.13,S*,21.8,2014,Apollo,Potentially
30,2014WK368,0.156,S*,21.4,2014,Apollo,Potentially
31,2014EQ49,0.13,S*,21.8,2014,Apollo,Potentially
32,2014SV141,0.142,S*,21.6,2014,Amor,Potentially
33,2015BW310,0.118,S*,22.0,2014,Apollo,Potentially
34,2014VL6,0.157,S*,21.39,2014,Apollo,Potentially
35,2013YP139,0.142,S*,21.6,2013,Apollo,Potentially
36,2010NY65,0.158,S*,21.37,2010,Apollo,Potentially
37,2010DG77,0.156,S*,21.4,2010,Apollo,Potentially
38,2010FC81,0.13,S*,21.8,2010,Amor,Potentially
39,2019DD2,0.142,S*,21.6,2010,Apollo,Potentially
40,2010XP69,0.156,S*,21.4,2010,Amor,Potentially
41,2010AG40,0.118,S*,22.0,2010,Apollo,Potentially
42,2010CO1,0.124,S*,21.9,2010,Apollo,Potentially
43,2010FH81,0.142,S*,21.6,2010,Apollo,Potentially
44,2003MA3,0.136,S*,21.7,2010,Apollo,Potentially
45,2010PW58,0.136,S,21.7,2010,Aten,Potentially
46,2010JN71,0.156,S*,21.4,2010,Apollo,Potentially
47,2010GS7,0.149,S*,21.5,2010,Apollo,Potentially
48,2010KX7,0.124,S*,21.9,2010,Aten,Potentially
49,2016EF28,0.136,S*,21.7,-1,Apollo,Potentially
50,2016NG33,0.149,S*,21.5,-1,Apollo,Potentially
51,2015JV,0.156,S*,21.4,-1,Apollo,Potentially
52,2015YU7,0.15,S*,21.49,-1,Aten,Potentially
53,2015XU378,0.156,S*,21.4,-1,Amor,Potentially
54,2017JF3,0.13,S*,21.8,-1,Aten,Potentially
55,2020ST1,0.118,S*,22.0,-1,Amor,Potentially
56,2020DM4,0.142,S*,21.61,-1,Amor,Potentially
57,2019AW4,0.152,S*,21.45,-1,Apollo,Potentially
58,2019BF5,0.112,S*,21.67,-1,Apollo,Potentially
59,2019CD5,0.112,S*,22.12,-1,Apollo,Potentially
60,2019RC,0.13,S*,21.8,-1,Amor,Potentially
61,2019UN12,0.12,S*,21.96,-1,Apollo,Potentially
62,2020AD3,0.137,S*,21.68,-1,Aten,Potentially
63,2006KV89,0.157,S*,21.38,-1,Apollo,Potentially
64,2004KH17,0.124,S*,21.9,-1,Aten,Potentially
